applicant_id,name,age,income,credit_score,loan_amount,employment_status,married,gender,approved
APP1170,Raj Smith,,"$66,400",,89100.0,Unemployed,No,Female,Rejected
APP1177,Omar Silva,25.0,"$75,700",645.0,228600.0,Employed,,Male,Approved
APP1132,Mei Khan,24.0,"$26,400",580.0,5000.0,employed,Yes,Female,Approved
APP1193,Liam Ali,28.0,"$78,500",,272600.0,Employed,No,Female,Approved
APP1102,Raj Kumar,35.0,N/A,573.0,159000.0,employed,N,Female,Rejected
APP1182,Raj Silva,26.0,"$12,000",574.0,78000.0,Unemployed,Y,Male,Rejected
APP1189,Liam Smith,37.0,"$63,200",692.0,5000.0,employed,Yes,male,Approved
APP1073,Sara Brown,,"$104,000",784.0,170200.0,employed,no,Male,Approved
APP1051,John Smith,56.0,"$60,500",780.0,182400.0,employed,Y,M,Approved
APP1185,Nina Silva,23.0,"$76,700",,13700.0,Employed,Yes,F,Approved
APP1197,Mei Brown,64.0,"$62,600",748.0,104600.0,Self-Employed,No,M,Rejected
APP1173,Raj Silva,25.0,"$51,000",738.0,115700.0,employed,N,F,Approved
APP1074,Mei Chen,54.0,"$34,800",425.0,149100.0,self employed,Yes,Female,Rejected
APP1199,Omar Smith,47.0,"$56,600",627.0,249000.0,employed,no,M,Approved
APP1103,Raj Chen,63.0,"$70,600",560.0,448800.0,Employed,Y,Female,Approved
APP1135,Sara Kumar,200.0,"$82,600",528.0,283700.0,Self-Employed,yes,,Approved
APP1029,Mei Silva,60.0,"$57,700",806.0,117600.0,self employed,,Male,Approved
APP1160,Liam Brown,35.0,"$37,100",758.0,26500.0,self employed,yes,M,Approved
APP1040,Omar Ali,47.0,"$22,300",737.0,105800.0,employed,Yes,F,Rejected
APP1025,Sara Kumar,41.0,"$64,800",729.0,157100.0,Employed,N,,Rejected
APP1100,Omar Chen,64.0,"$65,500",525.0,219900.0,Employed,Y,F,Approved
APP1083,Omar Smith,,"$78,300",537.0,177600.0,employed,yes,Male,Rejected
APP1101,Omar Brown,47.0,"$45,500",749.0,88500.0,unemployed,Y,female,Rejected
APP1034,Omar Khan,39.0,75100,593.0,180500.0,self employed,Yes,male,Rejected
APP1003,Sara Garcia,36.0,"$47,600",480.0,277300.0,Self-Employed,Yes,male,Rejected
APP1046,Mei Khan,22.0,"$38,200",576.0,128200.0,Employed,No,Male,Rejected
APP1125,Diya Garcia,23.0,"$60,600",625.0,41300.0,Self-Employed,Yes,M,Approved
APP1014,Raj Brown,26.0,"$38,700",824.0,261600.0,Self Employed,Y,female,Rejected
APP1192,Sara Ali,51.0,"$34,000",570.0,248700.0,Unemployed,no,Male,Rejected
APP1105,John Chen,41.0,"$21,500",727.0,112400.0,employed,Y,F,Rejected
APP1012,Sara Patel,55.0,"$47,600",632.0,113300.0,employed,Yes,Female,Rejected
APP1047,Diya Patel,32.0,"$87,700",628.0,207200.0,Employed,Y,Female,Approved
